City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,puerto baquerizo moreno,-0.9,-89.6,298.21,86,20,2.66,EC,1714014422
192,vol'no-nadezhdinskoye,43.3833,131.9917,290.86,59,0,5.0,RU,1714014528
193,petropavlovsk-kamchatsky,53.0452,158.6483,284.48,37,75,8.0,RU,1714014528
194,lebu,-37.6167,-73.65,287.01,91,99,5.01,CL,1714014529
195,cabanas,22.9758,-82.9219,296.06,84,6,4.15,CU,1714014529
196,tlahualilo de zaragoza,26.1167,-103.45,303.55,18,100,4.58,MX,1714014529
197,st. john's,47.5649,-52.7093,283.46,97,100,9.77,CA,1714014173
198,calchaqui,-29.8877,-60.287,286.64,76,33,2.92,AR,1714014530
199,fortuna,40.5982,-124.1573,284.78,86,20,3.6,US,1714014246
200,kingscliff,-28.2667,153.5667,300.22,61,40,5.66,AU,1714014530
201,nizhnesortymskiy,62.4397,71.7603,263.74,92,87,1.42,RU,1714014449
202,popondetta,-8.7537,148.2534,305.87,56,100,2.03,PG,1714014531
203,sur,22.5667,59.5289,300.42,72,0,2.39,OM,1714014531
204,petrovsk-zabaykal'skiy,51.273,108.843,276.9,41,87,6.35,RU,1714014532
205,don benito,38.9563,-5.8616,283.66,73,15,1.68,ES,1714014532
206,chul'man,56.8479,124.9104,273.3,81,100,4.92,RU,1714014262
207,beloyarskiy,63.7119,66.6722,265.37,90,31,0.89,RU,1714014533
208,oriximina,-1.7656,-55.8661,297.84,94,99,0.96,BR,1714014311
209,bunia,1.5667,30.25,291.33,98,100,1.31,CD,1714014533
210,pangoa,-12.1167,-73.0,294.7,99,100,0.75,PE,1714014534
211,nemuro,43.3236,145.575,279.63,98,100,11.07,JP,1714014534
212,pointe michel,15.25,-61.3833,299.98,79,16,5.25,DM,1714014534
213,abu zabad,12.35,29.25,299.06,10,9,3.21,SD,1714014534
214,ust'-ilimsk,58.0006,102.6619,273.39,92,100,3.58,RU,1714014439
215,clinton,42.587,-82.9199,276.45,69,0,4.12,US,1714014535
216,khenifra,32.9333,-5.6667,286.36,43,95,2.8,MA,1714014535
217,enriquillo,17.9,-71.2333,297.65,89,61,3.12,DO,1714014536
218,margate,51.3813,1.3862,278.54,73,100,1.79,GB,1714014536
219,barcelos,41.5388,-8.6151,287.51,76,100,2.12,PT,1714014405
220,kruisfontein,-34.0033,24.7314,289.2,93,40,2.84,ZA,1714014443
221,suntar,62.1444,117.6319,268.56,74,100,4.33,RU,1714014537
222,papatowai,-46.5619,169.4708,286.26,65,24,2.96,NZ,1714014177
223,were ilu,10.6,39.4333,285.85,82,80,1.84,ET,1714014537
224,timaru,-44.4,171.25,294.3,19,4,3.58,NZ,1714014303
225,la ronge,55.1001,-105.2842,278.07,90,98,5.02,CA,1714014538
226,isafjordur,66.0755,-23.124,275.85,84,16,1.31,IS,1714014400
227,anloga,5.7947,0.8973,301.71,81,54,3.72,GH,1714014538
228,el calafate,-50.3408,-72.2768,277.66,91,100,0.46,AR,1714014539
229,afif,23.9065,42.9172,294.01,15,0,4.31,SA,1714014539
230,trairi,-3.2778,-39.2689,297.5,94,31,2.64,BR,1714014389
231,akureyri,65.6835,-18.0878,276.73,65,26,1.08,IS,1714014443
232,tarawa,1.419,172.984,304.2,79,75,3.6,KI,1714014540
233,monterrey,25.6667,-100.3167,301.34,69,34,4.92,MX,1714013828
234,yarmouth,41.7057,-70.2286,282.6,70,0,12.52,US,1714014541
235,at taj,24.2049,23.2857,295.8,35,86,3.59,LY,1714014541
236,bel ombre,-4.6167,55.4167,299.06,89,75,4.12,SC,1714014541
